Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6f3C6rJo7zvmfr1h5SRvxg,Ladki Badi Anjani Hai,Kuch Kuch Hota Hai (Original Motion Picture Soundtrack),Jatin-Lalit;Kumar Sanu;Alka Yagnik,1998-08-19,381706,70,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi",Sony Music Entertainment India Pvt. Ltd.,0.637,0.774,7.0,-9.327,1.0,0.056,0.522,0.0001,0.0901,0.731,121.108,4.0
spotify:track:3H7enpb0DD2WcJrapT2PIp,Kaid - Reimagined Version,Kaid (Reimagined Version),Anshu Gupta;Lakshmi,2025-12-09,246439,22,False,312d5wchl73mqnoomnsbdksfnpte,2025-12-19T07:00:26Z,,Anshu Gupta,0.485,0.552,7.0,-9.754,0.0,0.0431,0.0407,0.0,0.412,0.372,174.263,4.0
spotify:track:0Ovq7sEhyXK3qVadXUmChS,Dekho Dekho Jaanam,Ishq (Original Motion Picture Soundtrack),Udit Narayan;Alka Yagnik,2000-08-03,313533,51,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi",Sony Music Entertainment India Pvt. Ltd.,0.62,0.839,6.0,-7.367,0.0,0.265,0.347,0.0,0.268,0.762,171.627,4.0
spotify:track:1NmrKS4kiaNLWl3gHBfnp4,Is Deewane Ladke Ko,Sarfarosh (Original Motion Picture Soundtrack),Aamir Khan;Alka Yagnik,1999-04-30,286000,53,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi",Tips Music Limited,0.744,0.475,2.0,-10.955,1.0,0.254,0.673,9.26e-06,0.0515,0.787,105.883,4.0
spotify:track:4VyRWQFlzDkelLyxPh4wqO,Zaalima,Zaalima,Anshu Gupta,2025-10-20,245510,20,False,312d5wchl73mqnoomnsbdksfnpte,2025-12-25T09:42:17Z,,Anshu Gupta,0.693,0.761,2.0,-7.781,1.0,0.0362,0.225,0.0,0.0827,0.624,98.02,4.0
spotify:track:0U9a0NZ8UQpnix2lBElFAx,Ladki Kyon,Hum Tum,Jatin-Lalit;Alka Yagnik;Shaan;Prasoon Joshi,2004-04-09,378044,58,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi,desi pop,bangla pop,sufi",YRF Music,0.76,0.83,6.0,-6.868,0.0,0.28,0.639,0.0,0.109,0.907,93.401,4.0
spotify:track:41Vl2OoM83VVe0eePpsgUf,Yeh Ladka Hai Deewana,Kuch Kuch Hota Hai (Original Motion Picture Soundtrack),Jatin-Lalit;Udit Narayan;Alka Yagnik,1998-08-19,397533,58,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi",Sony Music Entertainment India Pvt. Ltd.,0.516,0.757,2.0,-9.404,1.0,0.0551,0.289,7.21e-06,0.367,0.711,124.061,4.0
spotify:track:5DaHHmsrY3Y4YZKHdQPCmw,Bhari Aankhein - Female Version,Bhari Aankhein (Female Version),Anshu Gupta;Lakshmi,2025-12-25,207640,16,False,312d5wchl73mqnoomnsbdksfnpte,2025-12-27T12:35:26Z,,Anshu Gupta,0.528,0.535,10.0,-11.262,0.0,0.0478,0.0726,6.37e-05,0.0811,0.36,150.259,4.0
spotify:track:7fl15uWBpbKrzrmEm48ZyP,O O Jaane Jaana,Pyaar Kiya To Darna Kya,Kamaal Khan,1998-03-10,345240,73,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,bollywood,T-Series,0.781,0.766,7.0,-8.728,1.0,0.0564,0.122,0.000104,0.121,0.798,106.193,4.0
spotify:track:2Hs659VSIWrtetYzclXVP6,Le Gayi,Dil To Pagal Hai,Uttam Singh;Asha Bhosle;Anand Bakshi,1997-08-27,341812,63,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,ghazal,marathi pop,bangla pop,hindi pop",YRF Music,0.831,0.737,5.0,-11.51,0.0,0.0497,0.185,0.000937,0.153,0.82,125.552,4.0
spotify:track:31CvbfUSb1VpvInSbmZLGQ,Kalle Baithe,Kalle Baithe,Shael,2025-12-26,210937,56,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2025-12-27T18:42:38Z,desi pop,Shael Oswal,0.788,0.672,9.0,-3.989,0.0,0.112,0.349,6.18e-06,0.379,0.483,95.995,4.0
spotify:track:3G0VsDq23z29sfDOjWlPjp,Ek Ladki,Mere Yaar Ki Shaadi Hai,Jeet-Pritam;Udit Narayan;Alka Yagnik;Javed Akhtar,2002-05-09,337371,48,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi",YRF Music,0.688,0.721,6.0,-8.878,0.0,0.0629,0.325,2.18e-05,0.0868,0.66,92.838,4.0
spotify:track:1U07iG4qnbKP8ui3VidZN4,Koi Ladki Hai,Dil To Pagal Hai,Uttam Singh;Lata Mangeshkar;Udit Narayan;Anand Bakshi,1997-08-27,330684,59,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,ghazal,bhajan,hindi pop,marathi pop,desi",YRF Music,0.805,0.594,2.0,-10.846,1.0,0.0927,0.619,1.55e-05,0.215,0.694,110.425,4.0
spotify:track:7mj8YYfFXPOKl6BFX5pqZs,Papa Ki Pari,Main Prem Ki Diwani Hoon (Original Motion Picture Soundtrack),Sunidhi Chauhan;Kareena Kapoor,2003-01-01,329015,31,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,desi,hindi pop",Rajshri Music,0.729,0.875,4.0,-6.092,0.0,0.106,0.261,3.12e-06,0.737,0.63,126.548,4.0
spotify:track:2xBX0LSqGAKDfY660fzHAI,Sona Kitna Sona Hai,Hero No. 1 (Original Motion Picture Soundtrack),Udit Narayan;Poornima,1997-02-21,289153,69,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi",Tips Music Limited,0.756,0.92,7.0,-8.397,1.0,0.0776,0.0731,0.0101,0.347,0.849,98.993,4.0
spotify:track:6BJxQbKyQSdBOBIuW5TTmi,Shikdum,Dhoom,Pritam;Shaan;Shreya Ghoshal;Sameer Anjaan,2004-07-16,327575,49,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi,desi pop,bangla pop,kannada pop,marathi pop",YRF Music,0.703,0.866,7.0,-5.637,1.0,0.061,0.156,0.00527,0.145,0.535,93.839,4.0
spotify:track:7MAQPwX1d9t6ECrlXJSbbN,Sholon Si,Shabd,Vishal-Shekhar;Vishal Dadlani;Sunidhi Chauhan,2004-12-11,280766,49,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2023-04-28T20:03:12Z,"bollywood,desi,hindi pop",T-Series,0.634,0.87,9.0,-6.613,0.0,0.0437,0.0482,2.62e-06,0.152,0.703,105.016,4.0
spotify:track:0cIqctTS9MwA5BoAq2bEo0,Mujhe Tumse Mohabbat Hai - Remix,Tumsa Nahin Dekha A Love Story,Shreya Ghoshal;Shaan,2004-09-24,363706,46,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2023-04-28T20:07:13Z,"bollywood,hindi pop,desi,kannada pop,marathi pop,bangla pop,desi pop",Saregama,0.777,0.894,2.0,-6.434,1.0,0.0368,0.0808,0.00162,0.0698,0.867,131.942,4.0
spotify:track:3OGQ5gp3dkZ38eIjRKLF4V,Right Here Right Now,Bluff Master,Abhishek Bachchan;Sunidhi Chauhan;Vishal-Shekhar,2005-12-16,182533,60,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2024-05-03T12:46:05Z,"bollywood,desi,hindi pop",Saregama,0.854,0.449,10.0,-10.762,1.0,0.0939,0.0796,0.015,0.111,0.533,93.995,4.0
spotify:track:3UwxYcNbYNu8RgebscF2P8,"Dil Ka Telephone - From ""Dream Girl""",Dream Girl (Original Motion Picture Soundtrack),Kumaar;Nakash Aziz;Jonita Gandhi;Meet Bros.,2019-09-06,209566,42,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2024-05-28T03:03:07Z,"bollywood,hindi pop,desi,tollywood,telugu pop,tamil pop,kollywood,tamil dance,desi pop",Zee Music Company,0.803,0.857,5.0,-3.367,0.0,0.191,0.513,0.0,0.174,0.79,102.023,4.0
spotify:track:7JFIDJAi9RoCn0JYavNLRG,Shut Up & Bounce,Dostana (Original Motion Picture Soundtrack),Vishal-Shekhar;Sunidhi Chauhan;Vishal Dadlani,2008-10-08,277493,52,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2024-05-28T03:07:13Z,"bollywood,desi,hindi pop",Sony Music Entertainment India Pvt. Ltd.,0.578,0.857,2.0,-7.272,1.0,0.0648,0.00269,0.263,0.141,0.904,121.981,4.0
spotify:track:131yybV7A3TmC34a0qE8u8,Tunak Tunak Tun,Tunak Tunak Tun,Daler Mehndi,1998-02-28,303133,59,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2024-06-18T13:17:01Z,"bhangra,bollywood",Magnasound,0.794,0.977,10.0,-5.637,1.0,0.178,0.526,0.00196,0.0616,0.687,150.008,4.0
spotify:track:6ZdUoU3nGE4elsw4HSu5fu,Ho Jayegi Balle Balle,Ho Jayegi Balle Balle,Daler Mehndi,1997-02-27,289533,56,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2024-06-18T13:17:46Z,"bhangra,bollywood",Magnasound,0.774,0.991,0.0,-6.151,1.0,0.0778,0.182,0.000403,0.0305,0.825,141.931,4.0
spotify:track:6ipIuqRVkk0sbn2aZRIhJC,"Dil Ko Hazar Bar - From ""Murder""",Murder,Alisha Chinai;Anu Malik,2024-04-13,334162,46,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2024-06-18T13:26:11Z,"bollywood,desi,hindi pop,desi pop",Vishesh Films,0.78,0.752,0.0,-5.747,0.0,0.0375,0.369,0.0,0.313,0.652,109.987,4.0
spotify:track:30LSzmDNtfH7DPrF6mXZI8,Barsaat,Kabhi To Nazar Milao,Adnan Sami,2000-06-19,360866,37,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2024-06-18T13:42:28Z,"sufi,qawwali,desi pop,ghazal,bollywood,telugu pop,tollywood",Magnasound,0.635,0.45,9.0,-13.535,0.0,0.0286,0.51,2.8e-06,0.301,0.757,103.033,4.0
spotify:track:019lXUogVMhdJsM0c0Xb8Q,Namak,Omkara (Original Motion Picture Soundtrack),Vishal Bhardwaj;Rekha Bhardwaj;Rakesh Pandit;Gulzar,2006-07-08,412906,29,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2025-02-09T13:19:53Z,"bollywood,ghazal,hindi pop,sufi,desi",Sony Music Entertainment India Pvt. Ltd.,0.562,0.797,0.0,-7.324,1.0,0.161,0.0348,0.0156,0.176,0.566,169.928,4.0
spotify:track:6iBhOcAlPA8ma4yuzm2Jpi,Dil Lutiya (feat. Apache India),Romeo,Jazzy B;Apache India,2004-03-23,262840,59,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2025-02-27T05:10:47Z,"bhangra,punjabi pop,punjabi hip hop,desi",Tips Music Limited,0.811,0.8,2.0,-6.47,1.0,0.175,0.393,0.0,0.134,0.927,90.009,4.0
spotify:track:44NcO3sv7gVBH03tNRmwDR,Lover Girl,Made in India,Alisha Chinai,1996,286426,43,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2025-02-27T05:11:23Z,"bollywood,desi,hindi pop,desi pop",Magnasound,0.797,0.75,0.0,-9.245,1.0,0.0381,0.00655,0.0,0.172,0.907,102.047,4.0
spotify:track:5MXSLWGyPosYJ09LNu12SO,Tera Mera Pyar,Tera Mera Pyar,Prem & Hardeep;Kumar Sanu,2004-06-18,373026,51,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2025-02-27T05:12:00Z,"bollywood,desi,desi pop,bhangra,hindi pop",Sony Music Entertainment India Pvt. Ltd.,0.67,0.621,8.0,-5.438,0.0,0.0268,0.128,0.00202,0.108,0.368,88.985,4.0
spotify:track:0COSPPEaviWFYRvCEBIwHL,Indhana Winva,Yaad Piya Ki Aane Lagi,Falguni Pathak,2021-12-20,263560,27,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2025-02-27T05:12:46Z,"gujarati garba,gujarati pop,desi pop,bhajan",Universal Music India Pvt Ltd.,0.736,0.498,8.0,-13.716,0.0,0.0404,0.566,5.81e-05,0.116,0.744,109.955,4.0
spotify:track:5SRELoqoohc1jhb5PLwgOQ,Disco Deewane,Naujawan,Sagarika,1996-03-20,331253,35,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2025-02-27T05:14:52Z,"desi pop,indie pop",Magnasound,0.648,0.817,0.0,-9.742,0.0,0.0268,0.00576,0.118,0.324,0.945,118.01,4.0
